Date,Close,High,Low,Open,Volume,SMA,WMA,EMA,Momentum,StochK,StochD,MACD,RSI,WilliamsR,AD,CCI,PctDiffN,PctDiffLow,PctDiffHigh,FFT_Min,FFT_Max,FFT_Mean,Skewness,Kurtosis,SD,Target
2016-02-02,6640.74267578125,6651.409854828007,6617.978509549902,6617.978509549902,0,0.03384383101331454,0.024299978882651188,0.019342594112966557,0.044895120894912224,85.53151445865605,93.3633609087478,-0.004125050585460242,55.09272085137496,-14.468485541343956,8.897417424952176,83.6855246481508,0.044895120894912224,0.09173975440465035,-0.01401539986313346,116.330078125,129362.673828125,7109.045518893991,-0.02795622302017392,-0.6785232169788378,0.02127375792076331,0
2016-02-03,6519.8037109375,6602.59248418214,6519.523997696725,6602.59248418214,0,0.013745446774254126,0.0036548968603389927,0.0006747779199182342,0.041834963603231336,66.99460585152652,82.36156285925664,-0.003873760396275195,53.77800040596905,-33.005394148473485,8.897417424952176,54.76121873473211,0.041834963603231336,0.07185735838018233,-0.03197181870274811,191.08633952881118,129230.64794921875,7090.499890931655,0.05470603797596259,-0.7983271550240727,0.021609982723125247,1
2016-02-04,6651.11962890625,6651.11962890625,6551.944938062461,6551.944938062461,0,0.031833861098256,0.0192729016779488,0.018002196035329165,0.09344572809001428,87.1220409853806,79.8827204318544,-0.0019272720063494135,56.4247003263331,-12.877959014619405,8.897417424952176,94.69656128468911,0.09344572809001428,0.09344572809001428,-0.012474681230124775,55.72607421875,129038.01806640625,7038.763928567229,-0.12899953890093732,-0.7150137137899848,0.021191405628272545,1
2016-02-05,6763.390625,6767.339804750614,6662.4668712866705,6662.4668712866705,212000,0.04427616064505276,0.029798056350406776,0.030352212775094884,0.08973505875074288,99.42316076556162,84.5132692008229,0.0008913050865691051,63.60627527142395,-0.5768392344383794,12.724444793342544,142.10704630464554,0.08973505875074288,0.11190310788718226,-0.0005835645710951382,140.01126590342966,128745.67333984375,6979.050637247626,-0.2671443264293136,-0.7551766418203179,0.021428931148734835,0
2016-02-09,6635.7236328125,6721.471600100655,6635.7236328125,6721.471600100655,0,0.021406613333731277,0.007106627790531737,0.009435633639266533,0.03160508255558519,80.7754073871463,89.10686971269617,0.0015885631425988814,58.31475779672844,-19.224592612853694,12.724444793342544,97.15498319475915,0.03160508255558519,0.09091462248709643,-0.019448731072395822,115.92239552242066,128779.61474609375,6985.658033206964,0.07105958124616867,-1.2382177408588955,0.01927853104795238,1
2016-02-10,6635.7734375,6635.7734375,6548.436035056428,6608.090615373198,0,0.01718939330407679,0.004286854913290735,0.008173823714225082,0.05163186341324202,80.78268213775863,86.99375009682218,0.0021038924591495938,61.892811455776815,-19.217317862241373,12.724444793342544,63.03253914343024,0.05163186341324202,0.09092281039016001,-0.019441371505869394,192.361328125,128969.265625,7077.846164686122,0.12424971151338628,-1.2269240335353537,0.019266556290760517,1
2016-02-11,6661.71728515625,6672.984407634437,6609.19075195154,6631.574644942087,142787800,0.014733289391340953,0.005411855780530549,0.01048314431309868,0.024005654429088877,83.81913741645822,81.79240898045437,0.0027846711149049084,70.11958802348393,-16.180862583541778,12.93403565173166,73.48312622514216,0.024005654429088877,0.08948115147346025,-0.01560768671911794,63.79296614115347,129318.34619140625,7042.652283375149,0.21554301878223228,-1.0144365285239063,0.018479010560034728,0
2016-02-12,6652.73974609375,6675.763611710913,6605.761590013322,6622.2573488797525,143400,0.008468994252794298,0.0022871562616879376,0.007895598302568025,0.01387559153485109,77.53243679634447,80.71141878352044,0.003189524952385559,66.85191624717856,-22.467563203655523,12.92796128882171,65.44258167413436,0.01387559153485109,0.06320149415729398,-0.016934284661812918,190.93602087591702,129625.197265625,7020.563846333731,0.15439153513840145,-0.9281575251111973,0.018174379396142686,1
2016-02-15,6690.859375,6710.01460505706,6678.902489041346,6682.821403080542,0,0.011417265428045602,0.006130587915876309,0.011826429755286177,0.0007416347001783794,85.0058637892177,82.11914600067347,0.003902154316356532,61.371827348455064,-14.99413621078229,12.93752679811965,78.08839563464836,0.0007416347001783794,0.06929354765053992,-0.01130140231718906,104.2889135560686,129794.4541015625,7050.273002311704,0.15961703891120493,-0.9237958930427808,0.018167078616770055,1
2016-02-16,6742.21630859375,6775.687681274513,6716.322577024944,6716.322577024944,0,0.014446097385674551,0.011280587826162114,0.01693626184193674,0.006355433920782062,92.27450346840122,84.93760135132113,0.005004145330775894,70.28918840496003,-7.7254965315987745,12.93752679811965,92.46653651760552,0.006355433920782062,0.06303376000093559,-0.004939922596088007,97.22727533641125,130040.08154296875,7045.472768037228,0.031200225546921465,-0.7687661995660844,0.017592902632714347,1
2016-02-17,6755.0830078125,6777.55720988255,6726.200785355963,6774.887974301433,0,0.013663573389386764,0.011009065281051918,0.016318959154153385,0.017218003710375428,93.22260021121265,90.16765582294386,0.005974622462747924,64.13812984032361,-6.777399788787353,12.93752679811965,89.39496256260267,0.017218003710375428,0.047957365012222586,-0.0033159737902734836,124.01649920299798,130283.09912109375,7107.10144171749,0.04478783403558638,-0.7693792738904803,0.01759547613503074,1
2016-02-18,6847.109375,6847.109375,6777.187414107808,6779.726800164212,0,0.024339283325047856,0.02105193600222771,0.026037890522065944,0.05020176658285251,100.0,95.16570122653796,0.00765679521560117,65.53927312864334,-0.0,12.93752679811965,113.41767281582531,0.05020176658285251,0.05024682437230191,0.0,7.51708984375,130691.85400390625,7161.280460631058,-0.1320529068058717,-0.610578353124418,0.017176841318972923,0
2016-02-19,6790.31396484375,6843.20026775109,6787.354764849064,6843.20026775109,178800,0.014710438531159456,0.010454933072670446,0.015154746432684734,0.020927955547897722,82.6624098353238,91.96167001551214,0.008358027645706537,56.13501755255725,-17.337590164676193,12.899219978530088,108.12546672153722,0.020927955547897722,0.041535235891867577,-0.00829480106796892,79.70812867298663,131091.521484375,7229.238597912203,0.08902242403976167,-0.6401760598673714,0.015706828223685586,0
