"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2025","6,052.92","6,073.90","6,100.71","6,052.92","83.76K","-0.21%"
"12/26/2025","6,065.64","6,058.60","6,077.46","6,048.33","43.29K","0.39%"
"12/23/2025","6,041.91","6,058.10","6,063.82","5,988.67","69.67K","0.01%"
"12/22/2025","6,041.26","5,951.74","6,041.26","5,951.74","69.70K","2.03%"
"12/19/2025","5,920.87","6,050.36","6,068.38","5,920.87","126.59K","-1.83%"
"12/18/2025","6,031.48","6,075.66","6,080.01","6,020.66","73.92K","-0.78%"
"12/17/2025","6,079.02","6,082.21","6,111.95","6,065.57","106.85K","0.39%"
"12/16/2025","6,055.68","6,065.74","6,112.20","6,053.27","148.32K","-0.04%"
"12/15/2025","6,058.02","6,033.45","6,093.83","6,031.61","122.01K","0.35%"
"12/12/2025","6,036.72","6,000.49","6,062.59","5,993.24","134.11K","0.78%"
"12/11/2025","5,990.00","5,973.44","6,011.68","5,965.45","187.22K","0.50%"
"12/10/2025","5,959.94","5,991.10","5,991.10","5,927.97","87.83K","-0.28%"
"12/09/2025","5,976.64","5,963.75","5,976.64","5,922.73","111.86K","0.46%"
"12/05/2025","5,949.22","5,905.26","5,955.46","5,888.44","70.01K","1.05%"
"12/04/2025","5,887.58","5,915.62","5,922.32","5,881.72","89.32K","-0.31%"
"12/03/2025","5,905.84","6,004.54","6,004.54","5,905.84","98.11K","-1.48%"
"12/02/2025","5,994.40","6,006.33","6,006.33","5,972.60","65.04K","0.09%"
"12/01/2025","5,989.29","6,052.50","6,110.92","5,989.29","209.95K","-0.55%"
"11/28/2025","6,022.24","5,986.50","6,043.99","5,973.34","121.66K","0.89%"
"11/27/2025","5,969.13","6,005.45","6,005.45","5,929.67","65.29K","-0.59%"
"11/26/2025","6,004.70","5,997.72","6,012.43","5,960.43","122.36K","0.48%"
"11/25/2025","5,976.17","6,016.92","6,066.18","5,976.17","153.65K","-0.75%"
"11/24/2025","6,021.59","5,987.94","6,021.59","5,918.51","193.97K","0.41%"
"11/21/2025","5,997.13","5,893.31","5,997.13","5,853.78","132.70K","1.12%"
"11/20/2025","5,930.81","5,805.91","5,934.87","5,769.55","153.43K","2.01%"
"11/19/2025","5,813.71","5,756.40","5,821.48","5,756.40","123.90K","0.99%"
"11/18/2025","5,756.66","5,803.82","5,809.51","5,723.74","110.92K","-0.39%"
