Date,Open,High,Low,Close,Volume
2016-01-04,6952.482113676046,6955.451564893348,6831.6630859375,6831.6630859375,0
2016-01-05,6822.165479757422,6861.98531749751,6783.975593939736,6833.37255859375,0
2016-01-06,6845.230263895116,6868.794029657023,6812.1484375,6812.1484375,0
2016-01-07,6821.615884256046,6821.615884256046,6617.17822265625,6617.17822265625,0
2016-01-08,6586.386396365789,6649.290142614095,6553.764902133371,6573.73974609375,133300
2016-01-11,6521.602662752687,6521.602662752687,6286.64306640625,6286.64306640625,0
2016-01-12,6321.244650055493,6432.096028153873,6321.244650055493,6328.92236328125,0
2016-01-13,6370.301918947892,6505.237437255712,6370.301918947892,6492.46044921875,0
2016-01-14,6394.225969713614,6432.0463230902615,6344.368672334162,6407.1123046875,0
2016-01-15,6460.408389320465,6508.726041507551,6447.841796875,6447.841796875,106300
2016-01-18,6326.073676833196,6346.738285559839,6274.486842844595,6333.46142578125,0
2016-01-19,6346.397826689024,6374.610786648957,6310.037547726907,6355.41552734375,0
2016-01-20,6346.987857234522,6372.861086207996,6252.271981017304,6258.00048828125,0
2016-01-21,6210.813255479093,6212.282604248205,6082.7158203125,6082.7158203125,0
2016-01-22,6114.747699161113,6206.4541015625,6114.577820962449,6206.4541015625,283200
2016-01-25,6297.980855643065,6432.42626953125,6285.6339324418095,6432.42626953125,0
2016-01-26,6315.61622583953,6361.034234473834,6257.270877301381,6309.9775390625,0
2016-01-27,6342.429151627147,6505.54736328125,6342.429151627147,6505.54736328125,0
2016-01-28,6493.899758753383,6562.9723270809645,6445.952128723971,6561.6923828125,0
2016-01-29,6588.375663946579,6685.90087890625,6587.596079255737,6685.90087890625,240000
2016-02-01,6703.796293868577,6735.138332646813,6649.260511791994,6699.63720703125,0
2016-02-02,6617.978509549902,6651.409854828007,6617.978509549902,6640.74267578125,0
2016-02-03,6602.59248418214,6602.59248418214,6519.523997696725,6519.8037109375,0
2016-02-04,6551.944938062461,6651.11962890625,6551.944938062461,6651.11962890625,0
2016-02-05,6662.466871286671,6767.339804750614,6662.466871286671,6763.390625,212000
2016-02-09,6721.471600100655,6721.471600100655,6635.7236328125,6635.7236328125,0
2016-02-10,6608.090615373198,6635.7734375,6548.436035056428,6635.7734375,0
2016-02-11,6631.574644942087,6672.984407634437,6609.19075195154,6661.71728515625,142787800
2016-02-12,6622.2573488797525,6675.763611710913,6605.761590013322,6652.73974609375,143400
2016-02-15,6682.821403080542,6710.01460505706,6678.902489041346,6690.859375,0
2016-02-16,6716.322577024944,6775.687681274513,6716.322577024944,6742.21630859375,0
2016-02-17,6774.887974301433,6777.55720988255,6726.200785355963,6755.0830078125,0
2016-02-18,6779.726800164212,6847.109375,6777.187414107808,6847.109375,0
2016-02-19,6843.20026775109,6843.20026775109,6787.354764849064,6790.31396484375,178800
2016-02-22,6790.793954949868,6797.571997300764,6772.088803577766,6781.33642578125,0
2016-02-23,6793.983119760244,6827.364673454352,6793.983119760244,6817.5869140625,0
2016-02-24,6810.658828816725,6810.658828816725,6712.084079172704,6767.51953125,99700
2016-02-26,6729.669436900442,6771.288617767632,6726.920143852939,6769.55908203125,116000
2016-02-29,6775.307710286484,6816.287407796644,6669.3251953125,6669.3251953125,0
2016-03-01,6669.0351302274685,6729.59963484952,6659.967637615719,6727.7998046875,0
2016-03-02,6779.686617560675,6880.6806640625,6779.686617560675,6880.6806640625,0
2016-03-03,6884.509581074007,6986.883648401789,6882.170338810018,6961.64990234375,0
2016-03-04,6972.107229429404,6985.42411788206,6897.29638671875,6897.29638671875,126300
2016-03-07,6947.413695000781,6954.121930941596,6870.063468122179,6890.91796875,0
2016-03-08,6895.476862170235,6913.73193359375,6838.291371824233,6913.73193359375,0
2016-03-09,6912.552646982376,6949.253171079708,6887.858801221587,6946.39404296875,0
2016-03-10,6936.326124129752,7050.436916223722,6934.756703501746,7046.26806640625,0
2016-03-11,7000.260177493135,7118.029701714551,7000.260177493135,7096.8154296875,168200
2016-03-14,7159.248839074712,7202.757670286702,7111.0615234375,7111.0615234375,133500
2016-03-15,7138.814456053793,7206.077435641299,7138.394642116315,7146.42236328125,140700
2016-03-16,7144.922440459039,7154.440012535492,7063.57373046875,7063.57373046875,127300
2016-03-17,7112.481370769306,7209.04638671875,7108.442370172966,7209.04638671875,119000
2016-03-18,7227.871360308609,7316.608795714338,7225.282182356063,7304.86181640625,182500
2016-03-21,7344.870904402907,7410.424358692682,7344.870904402907,7374.513671875,161100
2016-03-22,7370.765075939373,7381.40198954469,7293.794631256856,7340.142578125,156600
2016-03-23,7305.601405048561,7358.15771484375,7260.822880416026,7358.15771484375,105400
2016-03-28,7353.698684404144,7357.337885225335,7301.852154555998,7332.63427734375,78400
2016-03-29,7322.047325252594,7337.193332829333,7262.82232047481,7272.52978515625,107700
2016-03-30,7297.563422586351,7360.707341806823,7291.75485762559,7297.353515625,192800
2016-03-31,7327.745384283813,7356.068178549819,7227.14137411006,7260.4326171875,140300
2016-04-01,7272.010188159516,7283.757167912752,7203.767968180148,7243.267578125,82000
2016-04-04,7243.837718827347,7300.743009677992,7234.0399449823135,7252.6650390625,74300
2016-04-05,7267.631119291784,7267.96111255859,7214.084830195281,7217.3740234375,91400
2016-04-06,7221.223442932021,7221.223442932021,7169.286601003376,7178.7041015625,123500
2016-04-07,7202.50784312592,7237.35923316027,7198.109071862235,7231.11083984375,91000
2016-04-08,7215.524268472155,7245.3369140625,7187.241502880503,7245.3369140625,104300
2016-04-11,7250.145388272075,7289.5556640625,7250.145388272075,7289.5556640625,72800
2016-04-12,7293.244640273271,7304.681640625,7274.649324451069,7304.681640625,100800
2016-04-13,7322.137177673481,7341.402243313389,7316.488727793351,7339.11279296875,180400
2016-04-14,7338.642490121039,7373.063813693836,7336.523406184326,7355.38818359375,176900
2016-04-15,7358.9375905755505,7361.146983326648,7301.412345198866,7319.41748046875,75900
2016-04-18,7311.699729856848,7311.699729856848,7233.929690898766,7241.53759765625,78000
2016-04-19,7242.827350830874,7262.6225531968,7181.432982969223,7213.23486328125,107800
2016-04-20,7210.556244247418,7227.841838996541,7187.681754432419,7199.51904296875,105100
2016-04-21,7210.806050242811,7255.984375,7192.230748363151,7255.984375,118100
2016-04-22,7251.43510770044,7270.55030943899,7233.169785072847,7253.52490234375,107900
2016-04-25,7258.173721956577,7265.57172202923,7225.392112132824,7248.26611328125,87500
2016-04-26,7243.767212919948,7247.996105966708,7200.148546257105,7210.06591796875,100500
2016-04-27,7190.2211548103705,7199.149035154676,7135.945070608827,7178.68408203125,125200
2016-04-28,7198.129052182717,7218.803911626641,7156.789584565104,7160.71875,108100
2016-04-29,7160.649079717217,7160.649079717217,7120.928823886915,7157.44970703125,103100
2016-05-02,7104.523131566507,7122.428195152472,6978.385646619838,7052.06640625,125800
2016-05-03,7062.643838325824,7096.655112032614,7044.75830078125,7044.75830078125,118600
2016-05-04,7047.827619877655,7080.0390625,6980.524615949126,7080.0390625,81400
2016-05-05,7005.828540847849,7009.477504968209,6985.063860341121,6997.95068359375,105100
2016-05-06,6974.566487139405,7001.229553117843,6959.860307614204,6990.07275390625,133000
2016-05-10,6964.559460078963,7173.03564453125,6939.635692374961,7173.03564453125,228000
2016-05-11,7225.691873388948,7421.611711658951,7225.691873388948,7394.61865234375,290800
2016-05-12,7397.887519719625,7397.887519719625,7308.220638001215,7323.15673828125,156600
2016-05-13,7367.035998012562,7516.017712063728,7350.139951619823,7434.87841796875,270000
2016-05-16,7380.532267055481,7525.174759643398,7380.532267055481,7509.80908203125,178900
2016-05-17,7523.675095003483,7566.873947039084,7511.468273139829,7522.9052734375,212100
2016-05-18,7529.64376562746,7540.890873337214,7485.755149617875,7532.36279296875,193200
